IMG,ts,steering
data/IMG/1.jpg,11130,0
data/IMG/2.jpg,11325,0
data/IMG/3.jpg,11370,0
data/IMG/4.jpg,11415,0
data/IMG/5.jpg,11445,0
data/IMG/6.jpg,11490,0
data/IMG/7.jpg,11520,0
data/IMG/8.jpg,11565,0
data/IMG/9.jpg,11595,0
data/IMG/10.jpg,11640,0
data/IMG/11.jpg,11685,0
data/IMG/12.jpg,11715,0
data/IMG/13.jpg,11760,0
data/IMG/14.jpg,11790,0
data/IMG/15.jpg,11835,0
data/IMG/16.jpg,11865,0
data/IMG/17.jpg,11910,0
data/IMG/18.jpg,11940,0
data/IMG/19.jpg,11985,0
data/IMG/20.jpg,12015,0
data/IMG/21.jpg,12060,0
data/IMG/22.jpg,12090,0
data/IMG/23.jpg,12135,0
data/IMG/24.jpg,12165,0
data/IMG/25.jpg,12210,0
data/IMG/26.jpg,12240,0
data/IMG/27.jpg,12285,0
data/IMG/28.jpg,12315,0
data/IMG/29.jpg,12360,0
data/IMG/30.jpg,12390,0
data/IMG/31.jpg,12435,0
data/IMG/32.jpg,12465,0
data/IMG/33.jpg,12510,0
data/IMG/34.jpg,12540,0
data/IMG/35.jpg,12585,0
data/IMG/36.jpg,12615,0
data/IMG/37.jpg,12660,0
data/IMG/38.jpg,12690,0
data/IMG/39.jpg,12735,0
data/IMG/40.jpg,12765,0
data/IMG/41.jpg,12810,0
data/IMG/42.jpg,12855,0
data/IMG/43.jpg,12885,0
data/IMG/44.jpg,12930,0
data/IMG/45.jpg,12960,0
data/IMG/46.jpg,13005,0
data/IMG/47.jpg,13050,0
data/IMG/48.jpg,13095,0
data/IMG/49.jpg,13125,0
data/IMG/50.jpg,13170,0
data/IMG/51.jpg,13215,0
data/IMG/52.jpg,13245,0
data/IMG/53.jpg,13290,0
data/IMG/54.jpg,13335,0
data/IMG/55.jpg,13365,0
data/IMG/56.jpg,13410,0
data/IMG/57.jpg,13455,0
data/IMG/58.jpg,13485,0
data/IMG/59.jpg,13530,0
data/IMG/60.jpg,13560,0
data/IMG/61.jpg,13605,0
