,steering
-0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,-0.0031132895965149997
62.0,-0.026127859950100002
63.0,-0.044214092195
64.0,-0.06592239066960001
65.0,-0.07948706671595
66.0,-0.09033719822765
67.0,-0.09847278892989998
68.0,-0.10933095216766668
69.0,-0.12288760021350001
70.0,-0.139174841344
71.0,-0.158160574734
72.0,-0.179868862033
73.0,-0.20699822157599998
74.0,-0.217848345637
75.0,-0.22327743470699998
76.0,-0.22327743470699998
77.0,-0.23142105340949998
78.0,-0.24226315319550001
79.0,-0.2558358609675
80.0,-0.26397146284600004
81.0,-0.2748215794565
82.0,-0.27753612399099997
83.0,-0.27753612399099997
84.0,-0.26397146284600004
85.0,-0.24769223481449998
86.0,-0.225991971791
87.0,-0.215133808553
88.0,-0.20157716423299998
89.0,-0.12741718937976668
90.0,-0.0139714535326
91.0,0.0
92.0,0.0
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,-0.017084743361943332
104.0,-0.03607046976685
105.0,-0.0469286330044
106.0,-0.057786796242000005
107.0,-0.0686288997531
108.0,-0.08491614833470001
109.0,-0.09575824812054999
110.0,-0.10933095216766668
111.0,-0.1256021372975
112.0,-0.144603922963
113.0,-0.15544603019949998
114.0,-0.16630419343699998
115.0,-0.18258340656799998
116.0,-0.20699822157599998
117.0,-0.22327742973966666
118.0,-0.2368421033025
119.0,-0.22598394006499997
120.0,-0.07134344242520001
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,-0.0004067796107845
126.0,-0.011655661510315
127.0,-0.025220336392550002
128.0,-0.060493309050800005
129.0,-0.09033719822765
130.0,-0.10390187054895
131.0,-0.11656437565866667
132.0,-0.12288760021350001
133.0,-0.12831667810699998
134.0,-0.13646030426
135.0,-0.144603922963
136.0,-0.15544603019949998
137.0,-0.16901873548833332
138.0,-0.17986083030699998
139.0,-0.1880044564605
140.0,-0.19343353807949998
141.0,-0.1988626271485
142.0,-0.2097127586605
143.0,-0.22056289017199998
144.0,-0.23413023849333334
145.0,-0.24769223481400005
146.0,-0.2612569183115
147.0,-0.28025066852549996
148.0,-0.2911088317635
149.0,-0.293823361397
150.0,-0.212427303195
151.0,-0.018357418477533333
152.0,0.0
153.0,0.0
154.0,0.0
155.0,0.0
156.0,0.0
157.0,0.0
158.0,0.0
159.0,0.0
160.0,0.0
161.0,-0.0004067796107845
162.0,-0.008941120235264999
163.0,-0.019799284637
164.0,-0.030649418011350002
165.0,-0.044214092195
166.0,-0.0632078498602
167.0,-0.09033719822765
168.0,-0.112045492977
169.0,-0.12288760021350001
170.0,-0.139174841344
171.0,-0.15002498030650002
172.0,-0.1563508758943333
173.0,-0.16630419343699998
174.0,-0.177154324949
